,time,cycleSlipratio,average CN0,average Elevation,vis satellite number,hDop,pDop,ValidLNum,aveEleOfValid,scene
123,60813.0,0.025641,40.0,47.542842,30.0,1.202461,1.407224,26.0,44.716701,other
124,60814.0,0.025641,40.0,47.541898,31.0,1.229087,1.490562,28.0,43.70316,other
125,60815.0,0.0,40.0,48.40381,32.0,1.239266,1.522992,29.0,43.70353,other
126,60816.0,0.0,40.0,48.402837,32.0,1.239272,1.522956,30.0,42.484797,other
127,60817.0,0.0,40.0,48.401867,33.0,1.239278,1.52292,32.0,40.616502,other
128,60818.0,0.025641,40.0,47.538113,33.0,1.239284,1.522885,31.0,41.666011,other
129,60819.0,0.025641,40.0,47.537167,34.0,1.168185,1.498216,32.0,41.666231,other
130,60820.0,0.025641,40.0,47.450565,34.0,1.150592,1.465552,32.0,41.666452,other
131,60821.0,0.025641,40.0,47.449852,34.0,1.131531,1.42634,33.0,41.666671,other
132,60822.0,0.025641,40.0,47.44914,34.0,1.15058,1.465479,31.0,42.569927,other
133,60823.0,0.025641,40.0,48.308651,34.0,1.150575,1.465443,32.0,40.91223,other
134,60824.0,0.025641,40.0,49.087522,34.0,1.131464,1.426221,32.0,42.094264,other
135,60825.0,0.051282,40.0,49.087011,34.0,1.099978,1.344576,32.0,42.094493,other
136,60826.0,0.025641,40.0,47.446288,34.0,1.167609,1.488573,31.0,42.094721,other
137,60827.0,0.025641,40.0,47.445578,33.0,1.131397,1.426101,30.0,42.094951,other
138,60828.0,0.025641,40.0,47.444862,33.0,1.228246,1.514684,31.0,42.095178,other
139,60829.0,0.025641,41.0,48.487816,33.0,1.146691,1.451767,32.0,42.021715,other
140,60830.0,0.025641,41.0,48.487149,33.0,1.146665,1.451723,31.0,42.095635,other
141,60831.0,0.0,41.0,49.416469,33.0,1.227677,1.505302,31.0,42.207831,other
142,60832.0,0.025641,40.0,49.369962,32.0,1.167554,1.488336,30.0,43.037219,other
143,60833.0,0.025641,40.0,49.369031,32.0,1.171832,1.490108,31.0,42.892655,other
144,60834.0,0.0,40.0,49.368103,32.0,1.233804,1.513345,32.0,42.893094,other
145,60835.0,0.0,41.0,50.282232,32.0,1.226323,1.503637,30.0,45.030546,other
146,60836.0,0.025641,40.0,49.366241,31.0,1.226765,1.610209,30.0,44.842681,other
147,60837.0,0.025641,40.0,49.36531,30.0,1.167317,1.481753,28.0,46.181221,other
148,60838.0,0.025641,40.0,49.364382,31.0,1.135711,1.385539,28.0,45.900273,other
149,60839.0,0.025641,40.0,49.36345,31.0,1.135698,1.385502,29.0,44.842689,other
150,60840.0,0.025641,40.0,49.578228,30.0,1.167259,1.481596,29.0,44.959229,other
151,60841.0,0.025641,40.0,49.280873,31.0,1.16724,1.481544,29.0,43.997378,other
152,60842.0,0.025641,40.0,49.280176,31.0,1.13566,1.385393,30.0,43.999405,other
153,60843.0,0.025641,40.0,49.279481,30.0,1.135647,1.385356,29.0,45.025091,other
154,60844.0,0.025641,40.0,49.278782,31.0,1.136334,1.455938,31.0,44.76521,other
155,60845.0,0.025641,40.0,49.278085,30.0,1.136324,1.455889,29.0,46.809852,other
156,60846.0,0.025641,40.0,49.277387,29.0,1.136313,1.455841,27.0,46.810011,other
157,60847.0,0.025641,40.0,49.27669,29.0,1.135596,1.385209,27.0,46.810171,other
158,60848.0,0.025641,40.0,48.231426,30.0,1.101033,1.345728,29.0,46.810329,other
159,60849.0,0.025641,40.0,48.230681,33.0,1.185901,1.399381,32.0,44.301074,other
160,60850.0,0.025641,40.0,49.193366,34.0,1.100988,1.345653,34.0,43.431948,other
161,60851.0,0.0,40.0,48.908103,33.0,1.186586,1.469149,31.0,44.301921,other
162,60852.0,0.025641,40.0,49.191349,34.0,1.186564,1.469099,32.0,44.302144,other
163,60853.0,0.0,40.0,49.19034,35.0,1.185807,1.399227,34.0,41.625798,other
164,60854.0,0.0,40.0,49.189331,35.0,1.18652,1.468999,33.0,42.386274,other
165,60855.0,0.0,40.0,49.188322,34.0,1.221971,1.516056,31.0,42.406531,other
166,60856.0,0.0,40.0,49.187312,34.0,1.221943,1.516003,32.0,41.678412,other
167,60857.0,0.0,40.0,48.301659,32.0,1.221915,1.51595,31.0,43.547514,other
168,60858.0,0.025641,40.0,48.300675,32.0,1.125164,1.434526,30.0,44.451275,other
169,60859.0,0.025641,40.0,48.299691,32.0,1.22186,1.515843,31.0,44.4513,other
170,60900.0,0.025641,40.0,49.343844,31.0,1.125116,1.43443,30.0,44.645698,other
171,60901.0,0.025641,40.0,49.342907,32.0,1.221805,1.515737,31.0,43.765187,other
172,60902.0,0.025641,40.0,48.561792,33.0,1.221778,1.515684,31.0,44.869079,other
173,60903.0,0.025641,40.0,48.295297,34.0,1.22175,1.515631,33.0,42.390403,other
174,60904.0,0.0,40.0,48.29477,34.0,1.221723,1.515577,32.0,43.547666,other
175,60905.0,0.025641,40.0,48.36886,34.0,1.237736,1.534996,32.0,44.683542,other
176,60906.0,0.025641,40.0,48.36764,33.0,1.237707,1.534952,29.0,45.660316,other
177,60907.0,0.025641,40.0,48.55594,33.0,1.237678,1.534908,29.0,46.625122,other
178,60908.0,0.025641,40.0,48.554768,33.0,1.165043,1.490215,31.0,44.366151,other
179,60909.0,0.025641,40.0,48.553596,31.0,1.21602,1.505495,30.0,43.617205,other
180,60910.0,0.025641,40.0,49.334468,32.0,1.23759,1.534777,31.0,42.80187,other
181,60911.0,0.025641,40.0,48.551252,31.0,1.165012,1.490102,29.0,44.191194,other
182,60912.0,0.025641,40.0,48.55008,34.0,1.237531,1.534689,32.0,42.67173,other
183,60913.0,0.025641,40.0,49.331651,35.0,1.243378,1.550714,32.0,42.676878,other
184,60914.0,0.025641,40.0,48.357868,35.0,1.215889,1.505281,32.0,42.985002,other
185,60915.0,0.025641,40.0,48.356645,33.0,1.164969,1.489952,31.0,43.877523,other
186,60916.0,0.025641,40.0,48.355422,33.0,1.150291,1.463,31.0,45.026527,other
187,60917.0,0.025641,40.0,48.354198,33.0,1.164948,1.489877,31.0,44.853932,other
188,60918.0,0.025641,39.0,48.352975,32.0,1.144913,1.448595,31.0,43.937139,other
189,60919.0,0.025641,40.0,49.32601,32.0,1.379463,1.848001,30.0,44.854752,other
190,60920.0,0.025641,40.0,50.031496,32.0,1.37868,1.845246,29.0,46.016614,other
191,60921.0,0.025641,40.0,50.030623,33.0,1.378647,1.845192,31.0,44.515623,other
192,60922.0,0.025641,40.0,50.02975,34.0,1.36511,1.838382,32.0,43.42562,other
193,60923.0,0.051282,40.0,49.011219,34.0,1.301652,1.733229,32.0,43.425033,other
194,60924.0,0.025641,40.0,49.010309,34.0,1.242184,1.668354,32.0,44.331396,other
195,60925.0,0.025641,40.0,49.009398,34.0,1.287033,1.680142,30.0,45.262651,other
196,60926.0,0.025641,40.0,49.008488,35.0,1.242125,1.668255,32.0,44.33226,other
197,60927.0,0.025641,40.0,49.007576,34.0,1.379196,1.847555,30.0,45.481623,other
198,60928.0,0.025641,40.0,49.006664,34.0,1.379162,1.847499,31.0,43.568355,other
199,60929.0,0.051282,40.0,49.215396,35.0,1.365731,1.840659,31.0,44.884999,other
200,60930.0,0.025641,40.0,49.214543,35.0,1.36486,1.83794,30.0,43.257911,other
201,60931.0,0.0,40.0,50.914262,35.0,1.286792,1.679826,32.0,42.319686,other
202,60932.0,0.025641,40.0,50.02101,33.0,1.286752,1.679773,30.0,43.223332,other
203,60933.0,0.025641,40.0,50.020135,34.0,1.286711,1.67972,32.0,43.963491,other
204,60934.0,0.025641,40.0,50.019259,33.0,1.286671,1.679667,32.0,43.963543,other
205,60935.0,0.025641,40.0,50.018384,34.0,1.309766,1.822733,31.0,44.851131,other
206,60936.0,0.025641,40.0,50.017507,34.0,1.309724,1.822664,33.0,43.963646,other
207,60937.0,0.025641,39.0,47.709643,35.0,1.286551,1.679509,33.0,43.300417,other
208,60938.0,0.025641,39.0,47.70864,35.0,1.286511,1.679455,32.0,44.139301,other
209,60939.0,0.025641,40.0,47.707637,34.0,1.378053,1.844227,30.0,43.42757,other
210,60940.0,0.025641,40.0,47.706636,34.0,1.37802,1.844173,31.0,44.139749,other
211,60941.0,0.025641,40.0,47.705632,34.0,1.377987,1.844119,32.0,44.140018,other
212,60942.0,0.025641,40.0,47.704628,34.0,1.377955,1.844065,33.0,44.140257,other
213,60943.0,0.025641,40.0,47.703626,35.0,1.313405,1.739017,34.0,44.017893,other
214,60944.0,0.025641,40.0,47.702621,35.0,1.313377,1.738966,33.0,43.606752,other
215,60945.0,0.025641,40.0,48.569176,36.0,1.313349,1.738914,33.0,43.607179,other
216,60946.0,0.025641,40.0,47.700613,35.0,1.313321,1.738862,33.0,44.021156,other
217,60947.0,0.025641,40.0,47.699609,35.0,1.301007,1.731925,34.0,43.212945,other
218,60948.0,0.025641,40.0,49.298612,35.0,1.300981,1.73187,32.0,43.718358,other
219,60949.0,0.025641,40.0,49.297663,35.0,1.300954,1.731815,33.0,42.867579,other
220,60950.0,0.025641,40.0,49.296715,35.0,1.313209,1.738656,34.0,43.304491,other
221,60951.0,0.025641,40.0,49.295765,35.0,1.313182,1.738604,32.0,43.719083,other
222,60952.0,0.025641,40.0,49.294817,35.0,1.232847,1.708709,33.0,42.868276,other
223,60953.0,0.025641,40.0,49.293867,35.0,1.232819,1.708641,33.0,43.719564,other
224,60954.0,0.025641,40.0,47.692572,35.0,1.214852,1.503562,31.0,43.719805,other
225,60955.0,0.025641,41.0,47.691566,33.0,1.214827,1.503519,32.0,42.868968,other
226,60956.0,0.025641,41.0,47.690559,32.0,1.214801,1.503476,30.0,43.720285,other
227,60957.0,0.0,40.0,47.689552,33.0,1.214775,1.503433,31.0,42.869429,other
228,60958.0,0.025641,40.0,47.688544,35.0,1.21475,1.50339,33.0,42.869658,other
229,60959.0,0.025641,40.0,50.136482,34.0,1.27667,1.58778,32.0,44.708811,other
230,61000.0,0.025641,40.0,47.686863,34.0,1.276636,1.587735,32.0,44.144689,other
231,61001.0,0.025641,40.0,47.685523,33.0,1.276603,1.58769,30.0,42.9879,other
232,61002.0,0.051282,40.0,48.491122,34.0,1.276569,1.587645,32.0,44.537255,other
233,61003.0,0.025641,40.0,49.284357,32.0,1.276535,1.587601,30.0,45.475424,other
234,61004.0,0.025641,40.0,49.283404,33.0,1.214596,1.503131,32.0,44.537653,other
235,61005.0,0.025641,40.0,47.681488,33.0,1.21457,1.503088,33.0,44.537851,other
236,61006.0,0.025641,40.0,47.680478,34.0,1.214544,1.503045,30.0,45.476042,other
237,61007.0,0.025641,40.0,47.679469,33.0,1.214519,1.503002,31.0,44.370681,other
238,61008.0,0.025641,40.0,49.692625,33.0,1.276367,1.587377,30.0,45.898113,other
239,61009.0,0.025641,40.0,49.278971,34.0,1.276333,1.587332,31.0,45.273887,other
240,61010.0,0.0,40.0,49.277686,32.0,1.2763,1.587287,31.0,45.202108,other
241,61011.0,0.025641,40.0,49.276731,32.0,1.276266,1.587242,31.0,45.202312,other
242,61012.0,0.025641,40.0,48.227158,32.0,1.276233,1.587197,31.0,45.202516,other
243,61013.0,0.025641,40.0,48.226154,33.0,1.235767,1.532006,31.0,44.538903,other
244,61014.0,0.025641,40.0,48.225151,32.0,1.235738,1.531962,29.0,42.211833,other
245,61015.0,0.025641,40.0,48.224146,31.0,1.23571,1.531918,28.0,43.350698,other
246,61016.0,0.025641,40.0,48.223141,32.0,1.235681,1.531874,30.0,44.761855,other
247,61017.0,0.025641,40.0,47.669362,32.0,1.235652,1.53183,30.0,43.100024,other
248,61018.0,0.025641,40.0,47.66835,31.0,1.235624,1.531786,30.0,43.099752,other
249,61019.0,0.051282,40.0,47.667338,29.0,1.235595,1.531742,29.0,44.434741,other
250,61020.0,0.025641,40.0,47.666325,30.0,1.235567,1.531697,29.0,44.31494,other
251,61021.0,0.025641,40.0,47.665313,29.0,1.235538,1.531654,28.0,45.477002,other
252,61022.0,0.025641,40.0,48.467357,32.0,1.23551,1.53161,31.0,42.119005,other
253,61023.0,0.025641,40.0,48.466163,31.0,1.235481,1.531565,29.0,42.974485,other
254,61024.0,0.025641,40.0,48.122889,31.0,1.235453,1.531521,29.0,42.974696,other
255,61025.0,0.025641,40.0,48.214088,32.0,1.235424,1.531477,30.0,42.886116,other
256,61026.0,0.025641,40.0,48.404902,32.0,1.235396,1.531433,31.0,42.069291,other
257,61027.0,0.025641,40.0,48.603934,31.0,1.27573,1.586524,30.0,42.570657,other
258,61028.0,0.025641,40.0,48.460547,30.0,1.284243,1.59578,30.0,42.934413,other
259,61029.0,0.025641,40.0,49.682131,30.0,1.275663,1.586434,29.0,43.582798,other
260,61030.0,0.025641,40.0,49.681784,30.0,1.27563,1.586389,28.0,43.583427,other
261,61031.0,0.025641,40.0,48.081508,30.0,1.283298,1.604751,28.0,42.100442,other
262,61032.0,0.025641,39.0,50.248815,30.0,1.285448,1.610976,28.0,44.294342,other
263,61033.0,0.051282,39.0,50.506929,30.0,1.173133,1.551591,30.0,43.365931,other
264,61034.0,0.025641,39.0,48.647855,30.0,1.23938,1.59779,29.0,41.602253,other
265,61035.0,0.025641,39.0,49.199747,31.0,1.239347,1.597736,30.0,42.500718,other
266,61036.0,0.051282,39.0,50.192221,30.0,1.202036,1.5858,30.0,43.367231,other
267,61037.0,0.025641,39.0,50.19197,29.0,1.236485,1.591209,28.0,44.297405,other
268,61038.0,0.025641,39.0,49.34221,30.0,1.236454,1.591156,30.0,42.576139,other
269,61039.0,0.0,39.0,49.611077,31.0,1.191588,1.560948,30.0,42.899491,other
270,61040.0,0.025641,39.0,49.545971,30.0,1.229444,1.572981,30.0,42.822074,other
271,61041.0,0.025641,39.0,49.545562,30.0,1.229414,1.572934,29.0,43.701175,other
272,61042.0,0.025641,39.0,49.54515,30.0,1.195389,1.536496,29.0,43.701401,other
273,61043.0,0.025641,40.0,49.829649,31.0,1.182171,1.515519,29.0,43.811181,other
274,61044.0,0.025641,39.0,48.990794,32.0,1.18215,1.515473,30.0,42.978099,other
275,61045.0,0.025641,39.0,49.621199,30.0,1.195244,1.536345,28.0,43.552114,other
276,61046.0,0.025641,39.0,49.620939,30.0,1.280967,1.628267,29.0,42.648469,other
277,61047.0,0.025641,39.0,48.789207,31.0,1.229233,1.572654,30.0,42.648878,other
278,61048.0,0.025641,39.0,49.620418,31.0,1.253666,1.594588,30.0,42.649284,other
279,61049.0,0.025641,39.0,49.620159,32.0,1.253671,1.594536,31.0,42.649691,other
280,61050.0,0.025641,39.0,48.801993,32.0,1.323732,1.640463,29.0,43.554232,other
281,61051.0,0.025641,40.0,48.383081,33.0,1.323725,1.640426,30.0,41.803969,other
282,61052.0,0.025641,40.0,46.771807,32.0,1.296914,1.606858,30.0,41.927885,other
283,61053.0,0.025641,40.0,48.379463,32.0,1.323711,1.640351,30.0,42.125965,other
284,61054.0,0.025641,40.0,48.378153,31.0,1.29691,1.606755,29.0,42.898429,other
285,61055.0,0.025641,40.0,48.377195,31.0,1.252348,1.565458,27.0,45.058716,other
286,61056.0,0.025641,40.0,48.406715,29.0,1.252349,1.565422,28.0,45.804038,other
287,61057.0,0.051282,39.0,48.425596,30.0,1.242341,1.551298,28.0,44.069006,other
288,61058.0,0.025641,39.0,48.424312,32.0,1.242345,1.551253,29.0,43.018039,other
289,61059.0,0.025641,40.0,48.228056,30.0,1.242349,1.551208,28.0,45.118494,other
290,61100.0,0.025641,40.0,47.381513,31.0,1.248563,1.559699,29.0,45.285337,other
